"py/object","match_id","timestamp","score1","score2","players2__001","players2__002","players1__001","players1__002"
"core.FoosballMatch","ed3d8f59","2016-08-05T17:34:10.130488","10","8","U0W5T83EK","U17V6C5K6","U0HTPM4P8","U0J0XLJUD"
"core.FoosballMatch","957bdde5","2016-10-13T12:18:28.234121","10","7","U0J0XLJUD","U0HTPM4P8","U0HTSHTR9","U0HTRQ5HQ"
"core.FoosballMatch","c5fbb064","2016-11-04T13:36:51.707685","7","10","U0HTVTLBS","U0HTR4KRT","U0HTSHTR9","U0HTJ2DK6"
"core.FoosballMatch","5ec55848","2016-08-22T12:14:33.103860","10","4","U0JBNHJ3X","U0HTJ2DK6","U0J0XLJUD","U0HTPS3JS"
"core.FoosballMatch","c20de4ac","2016-11-24T18:49:45.089560","1","10","U0HTQJMHN","U0HTRQ5HQ","U0HTQ6XQQ","U0JBNHJ3X"
"core.FoosballMatch","7d0069ca","2016-11-24T17:55:58.424316","6","10","U0J0XLJUD","U0JBNHJ3X","U0HTJ2DK6","U0HTVEJKC"
"core.FoosballMatch","e4234343","2016-07-29T17:53:17.033044","10","4","U0W5T83EK","U0HTQ6XQQ","U0JBNHJ3X","U0J0XLJUD"
"core.FoosballMatch","4b2ecda0","2016-07-20T11:52:09.112037","10","7","U0HTVTLBS","U0HTJ2DK6","U0HTPM4P8","U0J0XLJUD"
"core.FoosballMatch","28170cfe","2016-11-21T14:13:40.508697","9","10","U0HTR4KRT","U0HTVTLBS","U0HTPM4P8","U0HTSHTR9"
"core.FoosballMatch","75d078c0","2016-08-25T14:58:57.619048","10","8","U0HTVTLBS","U0HTQ6XQQ","U0J0XLJUD","U0HTPS3JS"
"core.FoosballMatch","d4b0f542","2016-12-13T11:41:45.586434","10","4","U0HTR4KRT","U0HTVTLBS","U0HTSHTR9","U0J0XLJUD"
"core.FoosballMatch","56d77718","2016-12-12T18:15:03.461827","10","7","U0HTPM4P8","U0KA76231","U0HTVTLBS","U0JBNHJ3X"
"core.FoosballMatch","b97af994","2016-10-11T11:04:25.587632","9","10","U0J8ETRH7","U0KA76231","U0JBNHJ3X","U0HTVTLBS"
"core.FoosballMatch","bffbcd9c","2016-08-12T12:49:23.112362","8","10","U0KA76231","U0J13UGAF","U07V0F5AS","U0J8ETRH7"
"core.FoosballMatch","702dd46f","2016-12-05T16:29:34.700095","10","7","U0HTVTLBS","U0HTQJMHN","U0KA76231","U0J8ETRH7"
"core.FoosballMatch","948f8890","2016-10-26T14:27:19.401251","10","7","U0KA76231","U0JBNHJ3X","U0HTPM4P8","U1CUW4Z7S"
"core.FoosballMatch","df3e5114","2016-09-09T17:19:36.302615","10","8","U0HTJ2DK6","U0HTQ6XQQ","U1CUW4Z7S","U0J8ETRH7"
"core.FoosballMatch","3abe8ab1","2016-07-28T18:00:18.514348","10","4","U1CUW4Z7S","U17V6C5K6","U0HTPM4P8","U0HTRQ5HQ"
"core.FoosballMatch","d2b7c4ca","2016-09-30T11:17:11.398932","7","10","U1CUW4Z7S","U0HTVEJKC","U0KCZ16LT","U0KA76231"
"core.FoosballMatch","e99e51f3","2016-12-23T12:35:27.170163","7","10","U0JBNHJ3X","U1CUW4Z7S","U0HTPS3JS","U0HTVTLBS"
"core.FoosballMatch","8dd1c062","2016-09-14T14:32:58.808984","10","9","U0KA76231","U0HTVEJKC","U0KCZ16LT","U0JBNHJ3X"
